sku_id,city_id,period_month,qty_issued,issue_events,breakdown_events,is_synthetic
B2B-017FC278,OBRE,2024-01,0,0,0,0
B2B-017FC278,OBRE,2024-02,0,0,0,0
B2B-017FC278,OBRE,2024-03,0,0,0,0
B2B-017FC278,OBRE,2024-04,0,0,0,0
B2B-017FC278,OBRE,2024-05,0,0,0,0
B2B-017FC278,OBRE,2024-06,0,0,0,0
B2B-017FC278,OBRE,2024-07,0,0,0,0
B2B-017FC278,OBRE,2024-08,0,0,0,0
B2B-017FC278,OBRE,2024-09,0,0,0,0
B2B-017FC278,OBRE,2024-10,0,0,0,0
B2B-017FC278,OBRE,2024-11,0,0,0,0
B2B-017FC278,OBRE,2024-12,22,1,0,0
B2B-017FC278,OBRE,2025-01,10,1,0,0
B2B-017FC278,OBRE,2025-02,0,0,0,0
B2B-017FC278,OBRE,2025-03,0,0,0,0
B2B-017FC278,OBRE,2025-04,0,0,0,0
B2B-017FC278,OBRE,2025-05,0,0,0,0
B2B-017FC278,OBRE,2025-06,0,0,0,0
B2B-017FC278,OBRE,2025-07,0,0,0,0
B2B-017FC278,OBRE,2025-08,0,0,0,0
B2B-017FC278,OBRE,2025-09,0,0,0,0
B2B-017FC278,OBRE,2025-10,0,0,0,0
B2B-017FC278,OBRE,2025-11,0,0,0,0
B2B-017FC278,OBRE,2025-12,0,0,0,0
B2B-017FC278,OBRE,2026-01,30,4,0,0
B2B-017FC278,OBRE,2026-02,7,1,0,0
B2B-017FC278,OBRE,2026-03,0,0,0,0
B2B-017FC278,OBRE,2026-04,0,0,0,0
B2B-017FC278,OBRE,2026-05,0,0,0,0
B2B-017FC278,OBRE,2026-06,0,0,0,0
B2B-017FC278,OBRE,2026-07,0,0,0,0
B2B-017FC278,OBRE,2026-08,0,0,0,0
B2B-017FC278,OBRE,2026-09,0,0,0,0
B2B-017FC278,OBRE,2026-10,0,0,0,0
B2B-017FC278,OBRE,2026-11,0,0,0,0
B2B-017FC278,OBRE,2026-12,0,0,0,0
B2B-017FC278,OBRE,2027-01,0,0,0,0
B2B-017FC278,OBRE,2027-02,0,0,0,0
B2B-017FC278,OBRE,2027-03,0,0,0,0
B2B-017FC278,OBRE,2027-04,0,0,0,0
B2B-017FC278,OBRE,2027-05,0,0,0,0
B2B-017FC278,OBRE,2027-06,0,0,0,0
B2B-017FC278,OBRE,2027-07,0,0,0,0
B2B-017FC278,OBRE,2027-08,0,0,0,0
B2B-017FC278,OBRE,2027-09,0,0,0,0
